timestamp,rail,rail_position,rail_speed,rail_acceleration,cycle_time
2025-04-21T10:02:30.839076,Linear Rail,1200.0,0,0,0.0
2025-04-21T10:02:30.943755,Linear Rail,1200.0,0.0,0.0,0.10467934608459473
2025-04-21T10:02:31.046223,Linear Rail,1200.0,0.0,0.0,0.20714712142944336
2025-04-21T10:02:31.147986,Linear Rail,1200.0,0.0,0.0,0.3089101314544678
2025-04-21T10:02:31.250273,Linear Rail,1200.0,0.0,0.0,0.4111971855163574
2025-04-21T10:02:31.351925,Linear Rail,1200.0,0.0,0.0,0.5128486156463623
2025-04-21T10:02:31.453617,Linear Rail,1200.0,0.0,0.0,0.6145412921905518
2025-04-21T10:02:31.559095,Linear Rail,1200.0,0.0,0.0,0.7200195789337158
2025-04-21T10:02:31.663526,Linear Rail,1200.0,0.0,0.0,0.8244497776031494
2025-04-21T10:02:31.795475,Linear Rail,1200.0,0.0,0.0,0.9563992023468018
2025-04-21T10:02:31.897777,Linear Rail,1200.0,0.0,0.0,1.0587005615234375
2025-04-21T10:02:32.000577,Linear Rail,1200.0,0.0,0.0,1.161501407623291
2025-04-21T10:02:32.156444,Linear Rail,1200.0,0.0,0.0,1.3173677921295166
2025-04-21T10:02:32.319940,Linear Rail,1200.0,0.0,0.0,1.4808642864227295
2025-04-21T10:02:32.438870,Linear Rail,1200.0,0.0,0.0,1.5997943878173828
2025-04-21T10:02:32.593202,Linear Rail,1200.0,0.0,0.0,1.7541255950927734
2025-04-21T10:02:32.695851,Linear Rail,1200.0,0.0,0.0,1.8567755222320557
2025-04-21T10:02:32.820038,Linear Rail,1200.0,0.0,0.0,1.980961799621582
2025-04-21T10:02:33.042886,Linear Rail,1199.0,-4.487369622688139,-20.136486130624295,2.2038094997406006
2025-04-21T10:02:33.182483,Linear Rail,1114.0,-608.8948323948401,-4329.653891092236,2.3434066772460938
2025-04-21T10:02:33.335893,Linear Rail,1072.0,-273.7762305578695,2184.464466684508,2.496816635131836
2025-04-21T10:02:33.445242,Linear Rail,1107.0,320.0739568207288,5430.742263799977,2.606166362762451
2025-04-21T10:02:33.803098,Linear Rail,1173.0,184.43183144609168,-379.04129703158657,2.964022159576416
2025-04-21T10:02:33.907376,Linear Rail,1200.0,258.9242292602178,714.3661736951167,3.0682997703552246
2025-04-21T10:02:34.074335,Linear Rail,1200.0,0.0,-1550.8225740106768,3.2352590560913086
2025-04-21T10:02:34.210576,Linear Rail,1200.0,0.0,0.0,3.371500015258789
2025-04-21T10:02:34.317088,Linear Rail,1200.0,0.0,0.0,3.4780120849609375
2025-04-21T10:02:34.419311,Linear Rail,1200.0,0.0,0.0,3.5802347660064697
2025-04-21T10:02:34.521085,Linear Rail,1199.0010518518518,-9.815336244988181,-96.44226858097723,3.682008981704712
2025-04-21T10:02:34.783842,Linear Rail,1171.0305037037022,-106.45012719536501,-367.77204843036407,3.9447662830352783
2025-04-21T10:02:34.918221,Linear Rail,1082.1241185185122,-661.6108352322607,-4131.315641360805,4.0791449546813965
2025-04-21T10:02:35.029191,Linear Rail,1011.1987999999899,-639.1408302309255,202.48760177362982,4.190114736557007
2025-04-21T10:02:35.151240,Linear Rail,938.2755851851712,-597.4885021295678,341.27386170079126,4.312164306640625
2025-04-21T10:02:35.280116,Linear Rail,858.359733333315,-620.0977846208234,-175.43410549741074,4.441040515899658
2025-04-21T10:02:35.405363,Linear Rail,754.4691259259021,-829.490521436116,-1671.847867485459,4.56628680229187
2025-04-21T10:02:35.558014,Linear Rail,694.53223703701,-392.6398175977692,2861.7598252473476,4.718937873840332
2025-04-21T10:02:35.687639,Linear Rail,528.7068444444085,-1279.2646300600504,-6839.891918743612,4.8485634326934814
2025-04-21T10:02:35.987371,Linear Rail,528.7068444444085,0.0,4268.032029914419,5.148295164108276
2025-04-21T10:02:36.300788,Linear Rail,601.6300592592272,232.67156733907117,742.3707030126563,5.461712121963501
2025-04-21T10:02:36.452936,Linear Rail,672.5553777777495,466.16074985585334,1534.6211293619872,5.6138598918914795
2025-04-21T10:02:36.577008,Linear Rail,760.4628148147913,708.5204792402162,1953.3823007441476,5.737931728363037
2025-04-21T10:02:36.744783,Linear Rail,845.3734074073884,506.0953813661453,-1206.5209295876343,5.905707597732544
2025-04-21T10:02:36.869476,Linear Rail,913.3018814814661,544.7681836695368,310.14552520721725,6.030400037765503
2025-04-21T10:02:36.994005,Linear Rail,981.2303555555438,545.4815887048795,5.728809860271867,6.1549293994903564
2025-04-21T10:02:37.127049,Linear Rail,1072.1346370370302,683.2659973458658,1035.632204055946,6.287973165512085
2025-04-21T10:02:37.229377,Linear Rail,1142.0610074074043,683.3579647150387,0.8987544167579035,6.390300750732422
2025-04-21T10:02:37.331496,Linear Rail,1191.0094666666662,479.3233092508887,-1997.9906975404167,6.492420673370361
2025-04-21T10:02:37.455764,Linear Rail,1200.0,72.34818179437191,-3274.9904166245437,6.616688251495361
2025-04-21T10:02:37.561964,Linear Rail,1200.0,0.0,-681.2432499682587,6.722888469696045
2025-04-21T10:02:37.744325,Linear Rail,1200.0,0.0,0.0,6.9052488803863525
2025-04-21T10:02:37.924601,Linear Rail,1200.0,0.0,0.0,7.085524797439575
2025-04-21T10:02:38.048955,Linear Rail,1200.0,0.0,0.0,7.209879398345947
2025-04-21T10:02:38.163699,Linear Rail,1200.0,0.0,0.0,7.324622631072998
2025-04-21T10:02:38.271832,Linear Rail,1200.0,0.0,0.0,7.432755708694458
2025-04-21T10:02:38.373606,Linear Rail,1200.0,0.0,0.0,7.5345299243927
