timestamp,conveyor,conveyor_pos_x,conveyor_pos_y,conveyor_pos_z,conveyor_speed_x,cycle_time
2025-04-21T10:02:30.848083,Conveyor_Box,-510.0,10.0,-160.0,0,0.0
2025-04-21T10:02:30.952869,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.10478544235229492
2025-04-21T10:02:31.054414,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.2063305377960205
2025-04-21T10:02:31.156407,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.3083231449127197
2025-04-21T10:02:31.258176,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.4100921154022217
2025-04-21T10:02:31.359367,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.5112838745117188
2025-04-21T10:02:31.558023,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.7099399566650391
2025-04-21T10:02:31.661462,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.8133785724639893
2025-04-21T10:02:31.794457,Conveyor_Box,-510.0,10.0,-160.0,0.0,0.946373701095581
2025-04-21T10:02:31.896008,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.0479247570037842
2025-04-21T10:02:31.999044,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.1509606838226318
2025-04-21T10:02:32.148873,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.3007898330688477
2025-04-21T10:02:32.250792,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.4027082920074463
2025-04-21T10:02:32.404358,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.5562744140625
2025-04-21T10:02:32.528364,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.6802806854248047
2025-04-21T10:02:32.661307,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.8132238388061523
2025-04-21T10:02:32.783685,Conveyor_Box,-510.0,10.0,-160.0,0.0,1.9356019496917725
2025-04-21T10:02:32.983149,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.1350653171539307
2025-04-21T10:02:33.146901,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.2988178730010986
2025-04-21T10:02:33.280075,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.4319918155670166
2025-04-21T10:02:33.410664,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.562579870223999
2025-04-21T10:02:33.677540,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.8294565677642822
2025-04-21T10:02:33.801519,Conveyor_Box,-510.0,10.0,-160.0,0.0,2.9534354209899902
2025-04-21T10:02:33.958124,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.1100409030914307
2025-04-21T10:02:34.077095,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.2290115356445312
2025-04-21T10:02:34.211102,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.36301851272583
2025-04-21T10:02:34.315060,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.4669764041900635
2025-04-21T10:02:34.418254,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.5701706409454346
2025-04-21T10:02:34.519626,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.6715424060821533
2025-04-21T10:02:34.785074,Conveyor_Box,-510.0,10.0,-160.0,0.0,3.936990737915039
2025-04-21T10:02:34.918739,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.070655822753906
2025-04-21T10:02:35.030363,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.182279825210571
2025-04-21T10:02:35.151748,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.303664207458496
2025-04-21T10:02:35.281586,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.433502197265625
2025-04-21T10:02:35.407098,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.559014320373535
2025-04-21T10:02:35.518981,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.670897483825684
2025-04-21T10:02:35.638918,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.790834426879883
2025-04-21T10:02:35.749166,Conveyor_Box,-510.0,10.0,-160.0,0.0,4.9010820388793945
2025-04-21T10:02:36.046178,Conveyor_Box,-510.0,10.0,-160.0,0.0,5.198094844818115
